第164 个acc：98.888889	 rec：1.000000	 spe：0.988095	 pre：0.857143	 fm：0.923077;
第165 个acc：100.000000	 rec：1.000000	 spe：1.000000	 pre：1.000000	 fm：1.000000;
第166 个acc：96.666667	 rec：0.818182	 spe：0.987342	 pre：0.900000	 fm：0.857143;
第167 个acc：96.666667	 rec：0.818182	 spe：0.987342	 pre：0.900000	 fm：0.857143;
第168 个acc：95.555556	 rec：0.750000	 spe：0.987179	 pre：0.900000	 fm：0.818182;
第169 个acc：93.333333	 rec：0.705882	 spe：0.986301	 pre：0.923077	 fm：0.800000;
第170 个acc：93.333333	 rec：0.705882	 spe：0.986301	 pre：0.923077	 fm：0.800000;
第171 个acc：96.666667	 rec：0.777778	 spe：0.987654	 pre：0.875000	 fm：0.823529;
第172 个acc：95.555556	 rec：0.333333	 spe：0.977011	 pre：0.333333	 fm：0.333333;
第173 个acc：95.555556	 rec：0.333333	 spe：0.977011	 pre：0.333333	 fm：0.333333;
第174 个acc：95.555556	 rec：0.750000	 spe：0.987179	 pre：0.900000	 fm：0.818182;
第175 个acc：95.555556	 rec：0.823529	 spe：0.986301	 pre：0.933333	 fm：0.875000;
第176 个acc：97.777778	 rec：0.909091	 spe：0.987342	 pre：0.909091	 fm：0.909091;
第177 个acc：94.444444	 rec：0.727273	 spe：0.974684	 pre：0.800000	 fm：0.761905;
第178 个acc：93.333333	 rec：0.600000	 spe：0.975000	 pre：0.750000	 fm：0.666667;
第179 个acc：94.444444	 rec：0.700000	 spe：0.975000	 pre：0.777778	 fm：0.736842;
第180 个acc：98.888889	 rec：1.000000	 spe：0.987342	 pre：0.916667	 fm：0.956522;
第181 个acc：98.888889	 rec：1.000000	 spe：0.987342	 pre：0.916667	 fm：0.956522;
第182 个acc：98.888889	 rec：1.000000	 spe：0.987342	 pre：0.916667	 fm：0.956522;
第183 个acc：98.888889	 rec：1.000000	 spe：0.987342	 pre：0.916667	 fm：0.956522;
第184 个acc：96.666667	 rec：0.900000	 spe：0.985714	 pre：0.947368	 fm：0.923077;
第185 个acc：96.666667	 rec：0.666667	 spe：0.988095	 pre：0.800000	 fm：0.727273;
第186 个acc：96.666667	 rec：0.666667	 spe：0.988095	 pre：0.800000	 fm：0.727273;
第187 个acc：96.666667	 rec：0.666667	 spe：0.988095	 pre：0.800000	 fm：0.727273;
第188 个acc：97.777778	 rec：0.888889	 spe：0.987654	 pre：0.888889	 fm：0.888889;
第189 个acc：92.222222	 rec：0.692308	 spe：0.961039	 pre：0.750000	 fm：0.720000;
第190 个acc：96.666667	 rec：0.750000	 spe：0.987805	 pre：0.857143	 fm：0.800000;
第191 个acc：96.666667	 rec：0.750000	 spe：0.987805	 pre：0.857143	 fm：0.800000;
第192 个acc：96.666667	 rec：0.750000	 spe：0.987805	 pre：0.857143	 fm：0.800000;
第193 个acc：96.666667	 rec：0.850000	 spe：1.000000	 pre：1.000000	 fm：0.918919;
第194 个acc：96.666667	 rec：0.850000	 spe：1.000000	 pre：1.000000	 fm：0.918919;
第195 个acc：96.666667	 rec：0.900000	 spe：0.985714	 pre：0.947368	 fm：0.923077;
第196 个acc：96.666667	 rec：0.900000	 spe：0.985714	 pre：0.947368	 fm：0.923077;
第197 个acc：96.666667	 rec：0.900000	 spe：0.985714	 pre：0.947368	 fm：0.923077;
第198 个acc：96.666667	 rec：0.900000	 spe：0.985714	 pre：0.947368	 fm：0.923077;
第199 个acc：96.666667	 rec：0.900000	 spe：0.985714	 pre：0.947368	 fm：0.923077;
第200 个acc：96.666667	 rec：0.900000	 spe：0.985714	 pre：0.947368	 fm：0.923077;
第201 个acc：96.666667	 rec：0.900000	 spe：0.985714	 pre：0.947368	 fm：0.923077;
第202 个acc：96.666667	 rec：0.900000	 spe：0.985714	 pre：0.947368	 fm：0.923077;
第203 个acc：96.666667	 rec：0.900000	 spe：0.985714	 pre：0.947368	 fm：0.923077;
第204 个acc：96.666667	 rec：0.900000	 spe：0.985714	 pre：0.947368	 fm：0.923077;
